Work Item Type,ID,Title,Description,Parent ID,Epic ID,Feature ID,Priority,Story Points,Sprint,Labels,Acceptance Criteria
Epic,EPIC-01,Platform Foundation,"Runnable Olares stack: PostgreSQL, MinIO, Redis, Ollama, ComfyUI, API skeleton, health checks.",,EPIC-01,,P0,,S1,aimpos-spark;foundation;olares,Docker Compose starts all services with one command. /health returns OK. ComfyUI test image succeeds. Ollama responds locally with zero egress.
Epic,EPIC-02,Pipeline Orchestration,"Temporal workflow skeleton with start, status, approve/reject signals, audit events.",,EPIC-02,,P0,,S2,aimpos-spark;temporal;workflow,User starts pipeline and sees status transitions. Workflow pauses at review gates. Approve advances; reject keeps stage. All transitions in audit_events.
Epic,EPIC-03,"Idea, Story & Script Stages",Idea capture through approved script using Story Architect and Screenwriter agents.,,EPIC-03,,P0,,S3,aimpos-spark;agents;story;script,Creator completes Idea to approved Story to approved Script in one run. Assets versioned in MinIO. Agent invocations logged with model ID.
Epic,EPIC-04,Storyboard Stage,"ComfyUI storyboard frames from approved script, gallery review, approval.",,EPIC-04,,P0,,S4,aimpos-spark;storyboard;comfyui,4-6 frames generated locally. Gallery review with approve/reject/regenerate. GPU jobs sequenced without OOM.
Epic,EPIC-05,Video & Pipeline Completion,"Short video generation, approval, export bundle, lineage summary.",,EPIC-05,,P0,,S5,aimpos-spark;video;export,15-30s video generated locally. Full pipeline end-to-end per demo script. Export ZIP with manifest.
Epic,EPIC-06,"Governance, Assets & Console","Asset history, audit log, auth token, navigation shell, durability.",,EPIC-06,,P0,,S1-S5,aimpos-spark;governance;ui,All assets versioned and browsable. Full audit trail visible. Pipeline survives worker restart. API token auth on mutating endpoints.
Feature,FEAT-01,Project Bootstrap,Default project on startup. F-01.,EPIC-03,EPIC-03,F-01,P0,,S1,feature;F-01,
Feature,FEAT-INFRA,Infrastructure Enabler,"Docker Compose, health, schema, MinIO, Ollama/ComfyUI smoke tests.",EPIC-01,EPIC-01,F-INFRA,P0,,S1,feature;infrastructure,
Feature,FEAT-03,Start Production Pipeline,Start Temporal workflow after idea capture. F-03.,EPIC-02,EPIC-02,F-03,P0,,S2,feature;F-03,
Feature,FEAT-16,Pipeline Status Dashboard,"Dashboard showing stage, progress, CTAs. F-16.",EPIC-02,EPIC-02,F-16,P0,,S2,feature;F-16,
