Implementation Order,Issue ID,Title,Description,Parent Story,Epic,Feature,Milestone,Labels,Dependencies,Acceptance Criteria
1,T-02-01,[T-02-01] Write docker-compose.yml for all 9 services,"Create deploy/compose/docker-compose.yml with api, worker, web, temporal, postgresql, minio, redis, ollama, comfyui on aimpos-spark network.",US-02,EPIC-01,F-INFRA,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, devops, parent:US-02",None,"compose config valid; 9 services defined; healthchecks; env example; pg/minio/redis start"
2,T-02-02,[T-02-02] Configure PostgreSQL volume and init scripts,Persistent volume and init scripts for PostgreSQL under deploy/init/postgres/.,US-02,EPIC-01,F-INFRA,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, devops, parent:US-02",T-02-01,"Named volume persists; init creates DB; psql connects from api network"
3,T-02-03,[T-02-03] Configure MinIO bucket aimpos-hot-assets on startup,MinIO persistent volume and init script creating aimpos-hot-assets bucket.,US-02,EPIC-01,F-INFRA,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, devops, parent:US-02",T-02-01,"Bucket exists after startup; S3 API works; idempotent init"
4,T-02-04,[T-02-04] Pin Ollama model llama3.1:13b in compose init,Pin Ollama model with GPU mapping and documented fallback.,US-02,EPIC-01,F-INFRA,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, devops, ai, parent:US-02",T-02-01,"Ollama in compose; model listed; fallback documented"
5,T-02-05,[T-02-05] Document Olares deployment in README,Quick start and runbooks for local and Olares deployment.,US-02,EPIC-01,F-INFRA,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, docs, parent:US-02","T-02-01, T-02-02, T-02-03","README quick start; runbooks; all services documented"
6,T-02-06,[T-02-06] Verify zero egress during compose startup,Verify stack healthy within 5 min without required egress.,US-02,EPIC-01,F-INFRA,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, devops, parent:US-02","T-02-01, T-02-02, T-02-03, T-02-04, T-02-05","9 containers healthy <5min; egress test documented; US-02 AC met"
7,T-04-01,[T-04-01] Define SQLAlchemy models for core tables,"ORM models for projects, pipeline_runs, asset_versions, approvals, audit_events, lineage_edges.",US-04,EPIC-01,F-INFRA,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, backend, parent:US-04",T-02-02,"All 6 tables modeled; asset_versions columns complete; FKs defined"
8,T-04-02,[T-04-02] Create initial Alembic migration,Initial migration from models; upgrade and downgrade work.,US-04,EPIC-01,F-INFRA,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, backend, parent:US-04",T-04-01,"alembic upgrade head works; downgrade clean; make migrate documented"
9,T-04-03,[T-04-03] Add repository layer interfaces,Repository interfaces and implementations for core aggregates.,US-04,EPIC-01,F-INFRA,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, backend, parent:US-04",T-04-02,"Repos for all aggregates; async session; smoke test passes"
10,T-03-01,[T-03-01] Implement /health with dependency probes,GET /health with PostgreSQL MinIO Redis probes; 503 on failure.,US-03,EPIC-01,F-INFRA,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, backend, parent:US-03","T-02-01, T-04-02","200 when deps up; JSON deps object; 503 when PG down"
11,T-03-02,[T-03-02] Add structured logging middleware,JSON log per request with request_id path status duration_ms.,US-03,EPIC-01,F-INFRA,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, backend, parent:US-03",T-03-01,"JSON logs; required fields; errors at ERROR level"
