Source ID,Target ID,Dependency Type,Relationship,Notes
US-02,US-04,Blocks,Finish-to-Start,Schema migrations require running PostgreSQL from compose stack
US-02,US-03,Blocks,Finish-to-Start,Health probes require deployed API container
US-02,US-05,Blocks,Finish-to-Start,MinIO client requires MinIO service from compose
US-02,US-06,Blocks,Finish-to-Start,Ollama and ComfyUI smoke tests require compose stack
US-02,US-26,Blocks,Finish-to-Start,Frontend needs API base URL from running stack
US-04,US-01,Blocks,Finish-to-Start,projects table required for seed script
US-04,US-05,Blocks,Finish-to-Start,asset_versions table required for upload metadata
US-04,US-07,Blocks,Finish-to-Start,pipeline_runs approvals audit_events tables required
US-04,US-23,Blocks,Finish-to-Start,audit_events table required for audit API
US-05,US-11,Blocks,Finish-to-Start,Idea must be stored as versioned asset in MinIO
US-05,US-12,Blocks,Finish-to-Start,Story output stored via asset service
US-05,US-14,Blocks,Finish-to-Start,Script output stored via asset service
US-05,US-16,Blocks,Finish-to-Start,Frame PNGs stored via asset service
US-05,US-18,Blocks,Finish-to-Start,Video MP4 stored via asset service
US-05,US-21,Blocks,Finish-to-Start,Export bundle reads assets from MinIO
US-05,US-22,Blocks,Finish-to-Start,Asset history queries MinIO-backed versions
US-06,US-12,Blocks,Finish-to-Start,Ollama must be verified before Story Architect agent
US-06,US-16,Blocks,Finish-to-Start,ComfyUI image workflow must be verified before storyboard
US-06,US-18,Blocks,Finish-to-Start,ComfyUI video workflow must be verified before video stage
US-01,US-07,Blocks,Finish-to-Start,Pipeline start requires project context
US-01,US-11,Blocks,Finish-to-Start,Idea capture requires project_id
US-26,US-10,Blocks,Finish-to-Start,Dashboard rendered inside app shell
US-26,US-13,Blocks,Finish-to-Start,Story review screen requires routing shell
US-26,US-15,Blocks,Finish-to-Start,Script review screen requires routing shell
US-26,US-17,Blocks,Finish-to-Start,Gallery review screen requires routing shell
US-26,US-19,Blocks,Finish-to-Start,Video review screen requires routing shell
US-26,US-22,Blocks,Finish-to-Start,Assets screen requires routing shell
US-26,US-23,Blocks,Finish-to-Start,Audit screen requires routing shell
US-07,US-08,Blocks,Finish-to-Start,Approve/reject signals require running workflow
US-07,US-09,Blocks,Finish-to-Start,Regenerate requires workflow and stage context
US-07,US-10,Blocks,Finish-to-Start,Status dashboard reads pipeline_runs from workflow
US-07,US-12,Blocks,Finish-to-Start,Story activity invoked by workflow
US-07,US-14,Blocks,Finish-to-Start,Script activity invoked by workflow
US-07,US-16,Blocks,Finish-to-Start,Storyboard activity invoked by workflow
US-07,US-18,Blocks,Finish-to-Start,Video activity invoked by workflow
US-07,US-23,Blocks,Finish-to-Start,Audit events emitted by workflow transitions
US-07,US-24,Blocks,Finish-to-Start,Durability tests require active workflow instances
US-08,US-09,Blocks,Finish-to-Start,Regenerate follows reject path from approve API
US-08,US-13,Blocks,Finish-to-Start,Story review wires to approve/reject endpoints
US-08,US-15,Blocks,Finish-to-Start,Script review wires to approve/reject endpoints
US-08,US-17,Blocks,Finish-to-Start,Gallery review wires to approve/reject endpoints
US-08,US-19,Blocks,Finish-to-Start,Video review wires to approve/reject endpoints
